Symbol,revenue,eps_basic,cash_and_equiv,total_assets,total_liabilities,retained_earnings,total_liabilities_and_equity,cf_cfo,total_assets_growth,equity_to_assets,period_end_date,Average_Stock_Value_After_Result
BDX,1575922000,0.99,409655000.0,6951822000,2822334000,5610948000,6951822000.0,236917000,0.1354,0.594,2007-03,75.28641122484964
BDX,1631159000,1.0,444164000.0,7122845000,2894950000,5795744000,7122845000.0,366260000,0.1467,0.5935,2007-06,75.33224947490389
BDX,1651101000,1.06,511482000.0,7329365000,2967408000,5995787000,7329365000.0,351700000,0.0739,0.5951,2007-09,80.66403404114739
BDX,1705767000,1.11,750762000.0,7566534000,3042258000,6191051000,7566534000.0,473158000,0.111,0.5979,2007-12,86.25221890308818
BDX,1746925000,1.13,560999000.0,7801256000,2942080000,6398401000,7801256000.0,212747000,0.1221,0.6228,2008-03,82.355792760849
BDX,1867587000,1.22,735908000.0,8129206000,3055093000,6625931000,8129206000.0,544256000,0.1412,0.6241,2008-06,82.3236550225152
BDX,1754663000,1.15,830477000.0,7912943000,2977375000,6838589000,7912943000.0,456937000,0.0796,0.6237,2008-09,66.43035222613622
BDX,1717919000,1.29,597619000.0,7660693000,2893722000,7068177000,7660693000.0,267865000,0.0124,0.6222,2008-12,66.96018901948005
BDX,1724967000,1.09,542712000.0,7575830000,2771807000,7252772000,7575830000.0,256094000,-0.0288,0.6341,2009-03,64.65226479182168
BDX,1820255000,1.42,1331601000.0,8848987000,3637091000,7514585000,8848987000.0,533967000,0.0885,0.5889,2009-06,67.24351507519918
BDX,1723581000,1.32,1394244000.0,9304624000,4161912000,7752831000,9304624000.0,658889000,0.1758,0.5527,2009-09,70.89461880638486
BDX,1868818000,1.33,1182306000.0,9094276000,3834117000,7978872000,9094276000.0,394520000,0.1871,0.5784,2009-12,75.67883583807176
BDX,1799409000,1.26,830688000.0,8943392000,3793758000,8192151000,8943392000.0,292015000,0.1805,0.5758,2010-03,72.21633765811012
BDX,1830911000,1.32,750106000.0,9031673000,3877796000,8412924000,9031673000.0,507709000,0.0206,0.5706,2010-06,68.72907523503379
BDX,1625247000,1.71,1215989000.0,9650694000,4216114000,8724228000,9650694000.0,550024000,0.0371,0.5631,2010-09,76.79365091475229
